"","binomial","eq","bm","brm","diet","habitus","suborder","new","bin"
"287","Mesembriomys_gouldii",0.611333426688862,6.57359571493099,1.55924716790975,"frugivorous","arboreal","Myomorpha","Old","100-1000"
"288","Mesocapromys_angelcabrerai",0.69275516264897,6.07924646049152,1.31351934633748,"folivorous","arboreal","Hystricomorpha","New","100-1000"
"289","Mesocapromys_auritus",0.580824511272326,6.58851373762259,1.51924183329605,"folivorous","arboreal","Hystricomorpha","New","100-1000"
"290","Mesocapromys_melanurus",0.572167133213459,7.06706406146702,1.86313705058838,"folivorous","arboreal","Hystricomorpha","New",">1000"
"291","Mesocricetus_auratus",0.508436571839164,4.78749174278205,0,"granivorous","semifossorial","Myomorpha","Old","100-1000"
"292","Mesocricetus_brandti",0.689136457533584,4.38202663467388,0,"granivorous","semifossorial","Myomorpha","New","<100"
"293","Mesomys_hispidus",1.01145858911717,5.16478597392351,1.00614606099552,"frugivorous","arboreal","Hystricomorpha","Old","100-1000"
"294","Microcavia_australis",0.815935514612621,5.59471137960184,1.11377672518788,"folivorous","terrestrial","Hystricomorpha","New","100-1000"
"295","Microcavia_niata",1.10510818542087,5.12396397940326,1.06407936392529,"folivorous","terrestrial","Hystricomorpha","New","100-1000"
"296","Microdipodops_megacephalus",1.30148311891401,2.61006979274201,-0.657780036722654,"granivorous","saltatorial","Castorimorpha","Old","<100"
"297","Microdipodops_pallidus",1.43534500804376,2.55722731136763,-0.599511128598678,"granivorous","saltatorial","Castorimorpha","Modified","<100"
"298","Micromys_minutus",1.33687602610338,1.81984460496158,-1.24132068872791,"granivorous","terrestrial","Myomorpha","Modified","<100"
"299","Microtus_agrestis",0.898255713473232,3.59174564020776,-0.333739716905684,"folivorous","terrestrial","Myomorpha","Modified","<100"
"300","Microtus_arvalis",0.783123430828207,3.41444260841218,-0.562469856918329,"folivorous","terrestrial","Myomorpha","Old","<100"
"301","Microtus_californicus",0.773574941713154,3.8217558280325,-0.274395376507375,"folivorous","semifossorial","Myomorpha","Modified","<100"
"302","Microtus_guentheri",0.67158055810803,4.10378174948955,-0.224469847870296,"folivorous","semifossorial","Myomorpha","Modified","<100"
"303","Microtus_longicaudus",0.738815759458721,3.7441411615775,-0.373988057930354,"folivorous","semifossorial","Myomorpha","Modified","<100"
"304","Microtus_montanus",0.747255041151439,3.67882592980011,-0.413981067899311,"folivorous","semifossorial","Myomorpha","Modified","<100"
"305","Microtus_ochrogaster",0.666611923249984,3.80304946722445,-0.443971080348005,"folivorous","semifossorial","Myomorpha","Modified","<100"
"306","Microtus_oregoni",0.910303292743026,3.05816676457693,-0.679860484615539,"folivorous","terrestrial","Myomorpha","Modified","<100"
"307","Microtus_pennsylvanicus",1.00058346008371,3.45883527268836,-0.322979333201506,"folivorous","semifossorial","Myomorpha","Modified","<100"
"308","Microtus_pinetorum",0.926107141138304,3.21486780347066,-0.544451351415651,"folivorous","semifossorial","Myomorpha","Old","<100"
"309","Microtus_subterraneus",0.996590795581927,2.70136121295141,-0.891598119283784,"folivorous","semifossorial","Myomorpha","New","<100"
